Question,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
P1,0,3,5,6,0,1,1,1,4,1,5,7,4,1,4,1,1,7,1,1,1,7,4,7,4,7,4,7,4,1
P2,1,2,5,3,1,1,1,3,7,6,4,7,1,5,7,1,2,2,6,6,1,7,7,6,2,1,7,7,1,7
P3,1,3,1,2,1,1,5,2,7,3,2,7,2,3,2,2,2,2,6,3,4,6,6,6,1,2,7,7,1,4
P4,1,4,2,4,1,1,0,2,5,5,1,7,2,2,4,1,1,2,1,2,1,6,5,4,6,7,1,7,2,5
P5,1,1,2,4,0,0,5,4,6,2,3,7,3,2,2,1,1,4,3,3,2,7,5,5,3,2,6,7,2,3
P6,1,2,4,7,1,1,4,6,7,6,7,7,7,6,7,2,4,4,6,2,4,7,6,5,2,1,4,7,1,6
P7,1,1,1,4,0,1,1,3,7,2,3,6,3,1,1,1,1,2,1,3,1,5,6,6,1,1,7,6,1,2
P8,0,3,1,1,0,1,1,2,5,7,2,6,4,3,3,5,3,2,3,4,3,7,5,6,3,3,7,7,2,3
P9,0,3,6,5,0,1,1,1,7,3,7,7,2,1,1,1,1,1,3,2,1,7,6,4,1,5,7,7,1,3
P10,1,5,2,0,1,1,4,4,5,3,4,5,3,4,5,2,3,5,4,5,3,4,3,5,1,2,3,5,2,2
P11,0,3,0,2,1,1,2,2,4,1,5,7,4,3,1,3,1,1,3,1,2,7,1,5,2,3,1,5,2,1
P12,0,2,5,3,0,1,4,3,6,5,1,6,7,3,6,7,1,7,5,2,5,7,4,2,1,4,4,6,1,3
P13,0,2,2,3,0,1,4,6,6,7,5,5,6,7,5,4,4,3,4,6,7,5,6,7,2,2,5,7,1,7
P14,0,1,0,5,0,1,2,3,7,5,3,7,4,1,1,3,4,6,4,1,1,7,7,4,1,1,6,7,1,3
P15,0,4,3,3,0,1,4,4,6,5,6,7,4,3,5,1,2,3,4,5,5,7,6,5,1,2,6,7,1,5
P16,1,2,2,3,0,0,2,4,2,2,3,4,5,3,3,5,3,5,3,5,3,4,2,3,3,4,3,4,3,2
P17,1,2,5,0,0,1,3,7,6,4,4,7,2,2,2,2,2,2,5,6,2,7,5,5,2,1,4,7,2,1
P18,0,3,6,6,1,1,6,4,6,3,5,5,4,4,4,4,5,3,6,4,4,5,6,5,1,4,5,5,1,6
P19,0,5,5,1,1,1,1,1,7,7,1,7,1,5,7,1,1,1,1,7,5,7,1,1,1,1,7,7,1,1
P20,0,4,5,1,1,1,1,1,7,4,4,7,1,5,1,1,2,2,4,4,3,6,7,7,1,2,6,6,1,4
P21,1,2,2,4,0,1,5,1,6,1,2,7,3,1,1,5,2,2,6,1,1,6,1,2,4,1,6,6,4,2
P22,0,3,5,1,0,1,5,3,7,3,3,7,4,2,2,2,2,5,2,5,3,7,5,5,1,6,6,7,1,4
P23,1,2,1,3,0,1,4,4,5,5,5,6,4,4,4,4,5,3,4,5,5,5,5,5,1,1,6,6,1,5
P24,0,2,5,3,0,1,4,3,6,4,4,6,4,6,7,7,5,7,3,7,4,6,5,5,4,2,1,6,2,2
